Instance_Name,API_Name,vCPU,Memory,Instance_Family,Network_Performance,On_Demand_Cost,Reserved_1Year_Cost,Reserved_3Year_Cost,Spot_Min_Cost,Spot_Max_Cost,Storage,Architecture,Cloud_Provider
X2GD 12xlarge,x2gd.12xlarge,48 vCPUs,768.0 GiB,X2GD,20 Gigabit,$4.008 hourly,$2.4699 hourly,$2.4699 hourly,$1.202400 hourly,$1.292600 hourly,2850 GB                 (2 * 1425 GB NVMe SSD),64-bit,AWS
R6GD Metal,r6gd.metal,64 vCPUs,512.0 GiB,R6GD,25 Gigabit,$3.6864 hourly,$2.3224 hourly,$2.3224 hourly,$1.197000 hourly,$1.197000 hourly,3800 GB                 (2 * 1900 GB NVMe SSD),64-bit,AWS
M6G Eight Extra Large,m6g.8xlarge,32 vCPUs,128.0 GiB,M6G,12 Gigabit,$1.232 hourly,$0.7728 hourly,$0.7728 hourly,$0.571300 hourly,$0.611200 hourly,EBS only,64-bit,AWS
Cluster Compute Eight Extra Large,cc2.8xlarge,32 vCPUs,60.5 GiB,Cluster,10 Gigabit,$2 hourly,unavailable,unavailable,unavailable,unavailable,3360 GB                 (4 * 840 GB HDD),64-bit,AWS
IS4GEN Large,is4gen.large,2 vCPUs,12.0 GiB,IS4GEN,Up to 25 Gigabit,$0.28815 hourly,$0.19653 hourly,$0.19653 hourly,$0.086400 hourly,$0.086400 hourly,1875 GB                 NVMe SSD,64-bit,AWS
C1 High-CPU Extra Large,c1.xlarge,8 vCPUs,7.0 GiB,C1,High,$0.52 hourly,$0.364 hourly,$0.364 hourly,$0.052000 hourly,$0.226700 hourly,1680 GB                 (4 * 420 GB HDD),64-bit,AWS
C5AD 12xlarge,c5ad.12xlarge,48 vCPUs,96.0 GiB,C5AD,12 Gigabit,$2.064 hourly,$1.3 hourly,$1.3 hourly,$0.830500 hourly,$1.201600 hourly,1800 GB                 (2 * 900 GB NVMe SSD),64-bit,AWS
C6G Medium,c6g.medium,1 vCPUs,2.0 GiB,C6G,Up to 10 Gigabit,$0.034 hourly,$0.0214 hourly,$0.0214 hourly,$0.017000 hourly,$0.017000 hourly,EBS only,64-bit,AWS
A1 Medium,a1.medium,1 vCPUs,2.0 GiB,A1,Up to 10 Gigabit,$0.0255 hourly,$0.0161 hourly,$0.0161 hourly,$0.008400 hourly,$0.009600 hourly,EBS only,64-bit,AWS
M2 High Memory Double Extra Large,m2.2xlarge,4 vCPUs,34.2 GiB,M2,Moderate,$0.49 hourly,$0.222 hourly,$0.222 hourly,$0.049000 hourly,$0.278500 hourly,850 GB                 HDD,64-bit,AWS
X2GD 16xlarge,x2gd.16xlarge,64 vCPUs,1024.0 GiB,X2GD,25 Gigabit,$5.344 hourly,$3.2932 hourly,$3.2932 hourly,$1.603200 hourly,$1.690400 hourly,3800 GB                 (2 * 1900 GB NVMe SSD),64-bit,AWS
R5AD Quadruple Extra Large,r5ad.4xlarge,16 vCPUs,128.0 GiB,R5AD,Up to 10 Gigabit,$1.048 hourly,$0.66 hourly,$0.66 hourly,$0.335500 hourly,$0.629700 hourly,600 GB                 (2 * 300 GB NVMe SSD),64-bit,AWS
C6G Large,c6g.large,2 vCPUs,4.0 GiB,C6G,Up to 10 Gigabit,$0.068 hourly,$0.0428 hourly,$0.0428 hourly,$0.034000 hourly,$0.034000 hourly,EBS only,64-bit,AWS
T3A Nano,t3a.nano,2 vCPUs                                                         for a                   1h 12m                   burst,0.5 GiB,T3A,Up to 5 Gigabit,$0.0047 hourly,$0.0029 hourly,$0.0029 hourly,$0.001800 hourly,$0.002100 hourly,EBS only,64-bit,AWS
IM4GN Extra Large,im4gn.xlarge,4 vCPUs,16.0 GiB,IM4GN,Up to 25 Gigabit,$0.36379 hourly,$0.23331 hourly,$0.23331 hourly,$0.109100 hourly,$0.109100 hourly,1875 GB                 NVMe SSD,64-bit,AWS
G5G Quadruple Extra Large,g5g.4xlarge,16 vCPUs,32.0 GiB,G5G,Up to 10 Gigabit,$0.828 hourly,$0.5216 hourly,$0.5216 hourly,$0.248400 hourly,$0.248400 hourly,EBS only,64-bit,AWS
C6GD Quadruple Extra Large,c6gd.4xlarge,16 vCPUs,32.0 GiB,C6GD,Up to 10 Gigabit,$0.6144 hourly,$0.3871 hourly,$0.3871 hourly,$0.272100 hourly,$0.321700 hourly,950 GB                 NVMe SSD,64-bit,AWS
High Memory Cluster Eight Extra Large,cr1.8xlarge,32 vCPUs,244.0 GiB,High,10 Gigabit,$3.5 hourly,unavailable,unavailable,unavailable,unavailable,240 GB                 (2 * 120 GB SSD),64-bit,AWS
R6GD Medium,r6gd.medium,1 vCPUs,8.0 GiB,R6GD,Up to 10 Gigabit,$0.0576 hourly,$0.0363 hourly,$0.0363 hourly,$0.018700 hourly,$0.018700 hourly,59 GB                 NVMe SSD,64-bit,AWS
M5N Eight Extra Large,m5n.8xlarge,32 vCPUs,128.0 GiB,M5N,25 Gigabit,$1.904 hourly,$1.2 hourly,$1.2 hourly,$0.651400 hourly,$1.121500 hourly,EBS only,64-bit,AWS
M6GD Eight Extra Large,m6gd.8xlarge,32 vCPUs,128.0 GiB,M6GD,12 Gigabit,$1.4464 hourly,$0.9112 hourly,$0.9112 hourly,$0.571300 hourly,$0.571300 hourly,1900 GB                 NVMe SSD,64-bit,AWS
A1 Large,a1.large,2 vCPUs,4.0 GiB,A1,Up to 10 Gigabit,$0.051 hourly,$0.0321 hourly,$0.0321 hourly,$0.019700 hourly,$0.023400 hourly,EBS only,64-bit,AWS
G5G Double Extra Large,g5g.2xlarge,8 vCPUs,16.0 GiB,G5G,Up to 10 Gigabit,$0.556 hourly,$0.3503 hourly,$0.3503 hourly,$0.166800 hourly,$0.166800 hourly,EBS only,64-bit,AWS
T3A Extra Large,t3a.xlarge,4 vCPUs                                                         for a                   9h 36m                   burst,16.0 GiB,T3A,Up to 5 Gigabit,$0.1504 hourly,$0.0943 hourly,$0.0943 hourly,$0.056200 hourly,$0.066900 hourly,EBS only,64-bit,AWS
C6G Eight Extra Large,c6g.8xlarge,32 vCPUs,64.0 GiB,C6G,12 Gigabit,$1.088 hourly,$0.6854 hourly,$0.6854 hourly,$0.544100 hourly,$0.565400 hourly,EBS only,64-bit,AWS
C6GN 16xlarge,c6gn.16xlarge,64 vCPUs,128.0 GiB,C6GN,100 Gigabit,$2.7648 hourly,$1.74502 hourly,$1.74502 hourly,$1.088200 hourly,$1.088200 hourly,EBS only,64-bit,AWS
C6GN Medium,c6gn.medium,1 vCPUs,2.0 GiB,C6GN,Up to 16 Gigabit,$0.0432 hourly,$0.02727 hourly,$0.02727 hourly,$0.017000 hourly,$0.017000 hourly,EBS only,64-bit,AWS
G5G Extra Large,g5g.xlarge,4 vCPUs,8.0 GiB,G5G,Up to 10 Gigabit,$0.42 hourly,$0.2646 hourly,$0.2646 hourly,$0.126000 hourly,$0.135700 hourly,EBS only,64-bit,AWS
M6G 12xlarge,m6g.12xlarge,48 vCPUs,192.0 GiB,M6G,20 Gigabit,$1.848 hourly,$1.1592 hourly,$1.1592 hourly,$0.857000 hourly,$0.857000 hourly,EBS only,64-bit,AWS
C6GN Large,c6gn.large,2 vCPUs,4.0 GiB,C6GN,Up to 25 Gigabit,$0.0864 hourly,$0.05453 hourly,$0.05453 hourly,$0.034000 hourly,$0.034000 hourly,EBS only,64-bit,AWS
T3A Micro,t3a.micro,2 vCPUs                                                         for a                   2h 24m                   burst,1.0 GiB,T3A,Up to 5 Gigabit,$0.0094 hourly,$0.0059 hourly,$0.0059 hourly,$0.002900 hourly,$0.003800 hourly,EBS only,64-bit,AWS
R6G Extra Large,r6g.xlarge,4 vCPUs,32.0 GiB,R6G,Up to 10 Gigabit,$0.2016 hourly,$0.127 hourly,$0.127 hourly,$0.074800 hourly,$0.076400 hourly,EBS only,64-bit,AWS
IM4GN 16xlarge,im4gn.16xlarge,64 vCPUs,256.0 GiB,IM4GN,100 Gigabit,$5.82067 hourly,$3.73296 hourly,$3.73296 hourly,$1.746200 hourly,$1.746200 hourly,30000 GB                 (4 * 7500 GB NVMe SSD),64-bit,AWS
X2GD Quadruple Extra Large,x2gd.4xlarge,16 vCPUs,256.0 GiB,X2GD,Up to 10 Gigabit,$1.336 hourly,$0.8233 hourly,$0.8233 hourly,$0.400800 hourly,$0.576600 hourly,950 GB                 NVMe SSD,64-bit,AWS
C6GN Metal,c6gn.metal,64 vCPUs,128.0 GiB,C6GN,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,EBS only,64-bit,AWS
G5 Graphics and Machine Learning GPU 48xlarge,g5.48xlarge,192 vCPUs,768.0 GiB,G5,100 Gigabit,$16.288 hourly,$10.26144 hourly,$10.26144 hourly,$5.222500 hourly,$5.388700 hourly,7600 GB                 (2 * 3800 GB NVMe SSD),64-bit,AWS
R6G Large,r6g.large,2 vCPUs,16.0 GiB,R6G,Up to 10 Gigabit,$0.1008 hourly,$0.0635 hourly,$0.0635 hourly,$0.037400 hourly,$0.037400 hourly,EBS only,64-bit,AWS
A1 Quadruple Extra Large,a1.4xlarge,16 vCPUs,32.0 GiB,A1,Up to 10 Gigabit,$0.408 hourly,$0.257 hourly,$0.257 hourly,$0.134300 hourly,$0.134300 hourly,EBS only,64-bit,AWS
T2 Medium,t2.medium,2 vCPUs                                                         for a                   4h 48m                   burst,4.0 GiB,T2,Low to Moderate,$0.0464 hourly,$0.0287 hourly,$0.0287 hourly,$0.013900 hourly,$0.021400 hourly,EBS only,32/64-bit,AWS
T4G Double Extra Large,t4g.2xlarge,8 vCPUs                                                         for a                   9h 36m                   burst,32.0 GiB,T4G,Up to 5 Gigabit,$0.2688 hourly,$0.1686 hourly,$0.1686 hourly,$0.080600 hourly,$0.080600 hourly,EBS only,64-bit,AWS
G5G Eight Extra Large,g5g.8xlarge,32 vCPUs,64.0 GiB,G5G,12 Gigabit,$1.372 hourly,$0.8644 hourly,$0.8644 hourly,$0.411600 hourly,$0.411600 hourly,EBS only,64-bit,AWS
High Storage Eight Extra Large,hs1.8xlarge,16 vCPUs,117.0 GiB,High,10 Gigabit,$4.6 hourly,unavailable,unavailable,unavailable,unavailable,48000 GB                 (24 * 2000 GB HDD),64-bit,AWS
U-18TB1 Metal,u-18tb1.metal,448 vCPUs,18432.0 GiB,U-18TB1,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,EBS only,64-bit,AWS
T1 Micro,t1.micro,1 vCPUs,0.613 GiB,T1,Very Low,$0.02 hourly,$0.014 hourly,$0.014 hourly,$0.002000 hourly,$0.002000 hourly,EBS only,32/64-bit,AWS
R6GD Large,r6gd.large,2 vCPUs,16.0 GiB,R6GD,Up to 10 Gigabit,$0.1152 hourly,$0.0726 hourly,$0.0726 hourly,$0.037400 hourly,$0.037400 hourly,118 GB                 NVMe SSD,64-bit,AWS
T4G Extra Large,t4g.xlarge,4 vCPUs                                                         for a                   9h 36m                   burst,16.0 GiB,T4G,Up to 5 Gigabit,$0.1344 hourly,$0.0843 hourly,$0.0843 hourly,$0.040300 hourly,$0.040300 hourly,EBS only,64-bit,AWS
C6GD Extra Large,c6gd.xlarge,4 vCPUs,8.0 GiB,C6GD,Up to 10 Gigabit,$0.1536 hourly,$0.0968 hourly,$0.0968 hourly,$0.068000 hourly,$0.068000 hourly,237 GB                 NVMe SSD,64-bit,AWS
T4G Nano,t4g.nano,2 vCPUs                                                         for a                   1h 12m                   burst,0.5 GiB,T4G,Up to 5 Gigabit,$0.0042 hourly,$0.0026 hourly,$0.0026 hourly,$0.001600 hourly,$0.002700 hourly,EBS only,64-bit,AWS
IS4GEN Extra Large,is4gen.xlarge,4 vCPUs,24.0 GiB,IS4GEN,Up to 25 Gigabit,$0.5763 hourly,$0.39306 hourly,$0.39306 hourly,$0.172900 hourly,$0.172900 hourly,3750 GB                 NVMe SSD,64-bit,AWS
U-24TB1 Metal,u-24tb1.metal,448 vCPUs,24576.0 GiB,U-24TB1,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,EBS only,64-bit,AWS
T2 Nano,t2.nano,1 vCPUs                                                         for a                   1h 12m                   burst,0.5 GiB,T2,Low to Moderate,$0.0058 hourly,$0.0036 hourly,$0.0036 hourly,unavailable,unavailable,EBS only,32/64-bit,AWS
MAC2 Metal,mac2.metal,12 vCPUs,16.0 GiB,MAC2,,unavailable,unavailable,unavailable,unavailable,unavailable,EBS only,64-bit,AWS
T3A Large,t3a.large,2 vCPUs                                                         for a                   7h 12m                   burst,8.0 GiB,T3A,Up to 5 Gigabit,$0.0752 hourly,$0.0471 hourly,$0.0471 hourly,$0.024300 hourly,$0.027000 hourly,EBS only,64-bit,AWS
I2 Large,i2.large,2 vCPUs,15.0 GiB,I2,Moderate,unavailable,unavailable,unavailable,unavailable,unavailable,EBS only,64-bit,AWS
MAC1 Metal,mac1.metal,12 vCPUs,32.0 GiB,MAC1,25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,EBS only,64-bit,AWS
C5 High-CPU Double Extra Large,c5d.2xlarge,8 vCPUs,16.0 GiB,C5,Up to 10 Gigabit,$0.384 hourly,$0.242 hourly,$0.242 hourly,$0.129500 hourly,$0.205300 hourly,200 GB                 NVMe SSD,64-bit,AWS
C5 High-CPU Extra Large,c5d.xlarge,4 vCPUs,8.0 GiB,C5,Up to 10 Gigabit,$0.192 hourly,$0.121 hourly,$0.121 hourly,$0.070200 hourly,$0.090300 hourly,100 GB                 NVMe SSD,64-bit,AWS
C5 High-CPU Metal,c5.metal,96 vCPUs,192.0 GiB,C5,25 Gigabit,$4.08 hourly,$2.57 hourly,$2.57 hourly,$1.554600 hourly,$1.846000 hourly,EBS only,64-bit,AWS
D3EN 12xlarge,d3en.12xlarge,48 vCPUs,192.0 GiB,D3EN,75 Gigabit,$6.30864 hourly,$3.97444 hourly,$3.97444 hourly,$1.892600 hourly,$2.358600 hourly,335520 GB                 (24 * 13980 GB HDD),64-bit,AWS
D3EN Eight Extra Large,d3en.8xlarge,32 vCPUs,128.0 GiB,D3EN,50 Gigabit,$4.20576 hourly,$2.64963 hourly,$2.64963 hourly,$1.261700 hourly,$1.261700 hourly,223680 GB                 (16 * 13980 GB HDD),64-bit,AWS
C6I 32xlarge,c6i.32xlarge,128 vCPUs,256.0 GiB,C6I,50 Gigabit,$5.44 hourly,$3.59856 hourly,$3.59856 hourly,$2.176400 hourly,$2.212300 hourly,EBS only,64-bit,AWS
C5 High-CPU 9xlarge,c5.9xlarge,36 vCPUs,72.0 GiB,C5,10 Gigabit,$1.53 hourly,$0.964 hourly,$0.964 hourly,$0.614100 hourly,$0.699600 hourly,EBS only,64-bit,AWS
R5 Metal,r5.metal,96 vCPUs,768.0 GiB,R5,25 Gigabit,$6.048 hourly,$3.81 hourly,$3.81 hourly,$1.710000 hourly,$1.769800 hourly,EBS only,64-bit,AWS
M5 General Purpose 24xlarge,m5.24xlarge,96 vCPUs,384.0 GiB,M5,25 Gigabit,$4.608 hourly,$2.903 hourly,$2.903 hourly,$1.752000 hourly,$2.248700 hourly,EBS only,64-bit,AWS
M5 General Purpose 24xlarge,m5d.24xlarge,96 vCPUs,384.0 GiB,M5,25 Gigabit,$5.424 hourly,$3.417 hourly,$3.417 hourly,$1.870500 hourly,$2.773000 hourly,3600 GB                 (4 * 900 GB NVMe SSD),64-bit,AWS
X2IDN 32xlarge,x2idn.32xlarge,128 vCPUs,2048.0 GiB,X2IDN,100 Gigabit,$13.338 hourly,$8.20687 hourly,$8.20687 hourly,$4.001400 hourly,$4.001400 hourly,3800 GB                 (2 * 1900 GB NVMe SSD),64-bit,AWS
I3EN 12xlarge,i3en.12xlarge,48 vCPUs,384.0 GiB,I3EN,50 Gigabit,$5.424 hourly,$3.694 hourly,$3.694 hourly,$1.627200 hourly,$1.721200 hourly,30000 GB                 (4 * 7500 GB NVMe SSD),64-bit,AWS
I3EN Metal,i3en.metal,96 vCPUs,768.0 GiB,I3EN,100 Gigabit,$10.848 hourly,$7.388 hourly,$7.388 hourly,$3.254400 hourly,$3.254400 hourly,60000 GB                 (8 * 7500 GB NVMe SSD),64-bit,AWS
M5ZN 3xlarge,m5zn.3xlarge,12 vCPUs,48.0 GiB,M5ZN,Up to 25 Gigabit,$0.991 hourly,$0.6243 hourly,$0.6243 hourly,$0.277600 hourly,$0.352800 hourly,EBS only,64-bit,AWS
M5 General Purpose 12xlarge,m5d.12xlarge,48 vCPUs,192.0 GiB,M5,10 Gigabit,$2.712 hourly,$1.709 hourly,$1.709 hourly,$1.072300 hourly,$1.502700 hourly,1800 GB                 (2 * 900 GB NVMe SSD),64-bit,AWS
U-9TB1 112xlarge,u-9tb1.112xlarge,448 vCPUs,9216.0 GiB,U-9TB1,100 Gigabit,$81.9 hourly,$50.47907 hourly,$50.47907 hourly,unavailable,unavailable,EBS only,64-bit,AWS
X2IEZN 12xlarge,x2iezn.12xlarge,48 vCPUs,1536.0 GiB,X2IEZN,100 Gigabit,$10.008 hourly,$6.1614 hourly,$6.1614 hourly,$3.002400 hourly,$3.002400 hourly,EBS only,64-bit,AWS
C5 High-CPU Large,c5.large,2 vCPUs,4.0 GiB,C5,Up to 10 Gigabit,$0.085 hourly,$0.054 hourly,$0.054 hourly,$0.033100 hourly,$0.046500 hourly,EBS only,64-bit,AWS
C5N Large,c5n.large,2 vCPUs,5.25 GiB,C5N,Up to 25 Gigabit,$0.108 hourly,$0.068 hourly,$0.068 hourly,$0.032400 hourly,$0.037400 hourly,EBS only,64-bit,AWS
X2IEDN Double Extra Large,x2iedn.2xlarge,8 vCPUs,256.0 GiB,X2IEDN,Up to 25 Gigabit,$1.66725 hourly,$1.02586 hourly,$1.02586 hourly,$0.500200 hourly,$0.500200 hourly,237 GB                 NVMe SSD,64-bit,AWS
C5 High-CPU 24xlarge,c5.24xlarge,96 vCPUs,192.0 GiB,C5,25 Gigabit,$4.08 hourly,$2.57 hourly,$2.57 hourly,$1.554600 hourly,$1.816300 hourly,EBS only,64-bit,AWS
C5 High-CPU 12xlarge,c5.12xlarge,48 vCPUs,96.0 GiB,C5,12 Gigabit,$2.04 hourly,$1.285 hourly,$1.285 hourly,$0.834200 hourly,$1.069400 hourly,EBS only,64-bit,AWS
D2 Eight Extra Large,d2.8xlarge,36 vCPUs,244.0 GiB,D2,10 Gigabit,$5.52 hourly,$3.216 hourly,$3.216 hourly,$1.656000 hourly,$1.656000 hourly,48000 GB                 (24 * 2000 GB HDD),64-bit,AWS
M6I 24xlarge,m6i.24xlarge,96 vCPUs,384.0 GiB,M6I,37.5 Gigabit,$4.608 hourly,$3.04819 hourly,$3.04819 hourly,$1.717500 hourly,$2.318700 hourly,EBS only,64-bit,AWS
I3EN 3xlarge,i3en.3xlarge,12 vCPUs,96.0 GiB,I3EN,Up to 25 Gigabit,$1.356 hourly,$0.924 hourly,$0.924 hourly,$0.406800 hourly,$0.406800 hourly,7500 GB                 NVMe SSD,64-bit,AWS
Z1D 3xlarge,z1d.3xlarge,12 vCPUs,96.0 GiB,Z1D,Up to 10 Gigabit,$1.116 hourly,$0.703 hourly,$0.703 hourly,$0.334800 hourly,$0.356800 hourly,450 GB                 NVMe SSD,64-bit,AWS
M5 General Purpose Double Extra Large,m5.2xlarge,8 vCPUs,32.0 GiB,M5,Up to 10 Gigabit,$0.384 hourly,$0.242 hourly,$0.242 hourly,$0.161200 hourly,$0.184200 hourly,EBS only,64-bit,AWS
C5 High-CPU 18xlarge,c5.18xlarge,72 vCPUs,144.0 GiB,C5,25 Gigabit,$3.06 hourly,$1.928 hourly,$1.928 hourly,$1.242400 hourly,$1.607500 hourly,EBS only,64-bit,AWS
X2IEDN 32xlarge,x2iedn.32xlarge,128 vCPUs,4096.0 GiB,X2IEDN,100 Gigabit,$26.676 hourly,$16.41374 hourly,$16.41374 hourly,$8.002800 hourly,$26.676000 hourly,3800 GB                 (2 * 1900 GB NVMe SSD),64-bit,AWS
DL1 24xlarge,dl1.24xlarge,96 vCPUs,768.0 GiB,DL1,4x 100 Gigabit,$13.10904 hourly,$8.2587 hourly,$8.2587 hourly,$3.932700 hourly,$3.932700 hourly,4 TB                 (4 * 1 TB NVMe SSD),64-bit,AWS
X1E 16xlarge,x1e.16xlarge,64 vCPUs,1952.0 GiB,X1E,10 Gigabit,$13.344 hourly,$8.223 hourly,$8.223 hourly,$4.003200 hourly,$4.231100 hourly,1920 GB                 SSD,64-bit,AWS
R6I Large,r6i.large,2 vCPUs,16.0 GiB,R6I,Up to 12.5 Gigabit,$0.126 hourly,$0.08335 hourly,$0.08335 hourly,$0.037400 hourly,$0.050200 hourly,EBS only,64-bit,AWS
C6I 24xlarge,c6i.24xlarge,96 vCPUs,192.0 GiB,C6I,37.5 Gigabit,$4.08 hourly,$2.69892 hourly,$2.69892 hourly,$1.632300 hourly,$2.610500 hourly,EBS only,64-bit,AWS
M6I Large,m6i.large,2 vCPUs,8.0 GiB,M6I,Up to 12.5 Gigabit,$0.096 hourly,$0.0635 hourly,$0.0635 hourly,$0.036600 hourly,$0.037600 hourly,EBS only,64-bit,AWS
C4 High-CPU Quadruple Extra Large,c4.4xlarge,16 vCPUs,30.0 GiB,C4,High,$0.796 hourly,$0.504 hourly,$0.504 hourly,$0.246800 hourly,$0.332100 hourly,EBS only,64-bit,AWS
I3EN Extra Large,i3en.xlarge,4 vCPUs,32.0 GiB,I3EN,Up to 25 Gigabit,$0.452 hourly,$0.308 hourly,$0.308 hourly,$0.135600 hourly,$0.141300 hourly,2500 GB                 NVMe SSD,64-bit,AWS
I3 High I/O Extra Large,i3.xlarge,4 vCPUs,30.5 GiB,I3,Up to 10 Gigabit,$0.312 hourly,$0.214 hourly,$0.214 hourly,$0.125900 hourly,$0.138200 hourly,950 GB                 NVMe SSD,64-bit,AWS
D3 Double Extra Large,d3.2xlarge,8 vCPUs,64.0 GiB,D3,Up to 15 Gigabit,$0.999 hourly,$0.629 hourly,$0.629 hourly,$0.299700 hourly,$0.328900 hourly,11880 GB                 (6 * 1980 GB HDD),64-bit,AWS
M5ZN Metal,m5zn.metal,48 vCPUs,192.0 GiB,M5ZN,100 Gigabit,$3.9641 hourly,$2.4974 hourly,$2.4974 hourly,$0.830400 hourly,$0.966900 hourly,EBS only,64-bit,AWS
I3 High I/O Quadruple Extra Large,i3.4xlarge,16 vCPUs,122.0 GiB,I3,Up to 10 Gigabit,$1.248 hourly,$0.857 hourly,$0.857 hourly,$0.471300 hourly,$0.556100 hourly,3800 GB                 (2 * 1900 GB NVMe SSD),64-bit,AWS
I3EN Double Extra Large,i3en.2xlarge,8 vCPUs,64.0 GiB,I3EN,Up to 25 Gigabit,$0.904 hourly,$0.616 hourly,$0.616 hourly,$0.271200 hourly,$0.328200 hourly,5000 GB                 (2 * 2500 GB NVMe SSD),64-bit,AWS
C6I Eight Extra Large,c6i.8xlarge,32 vCPUs,64.0 GiB,C6I,12.5 Gigabit,$1.36 hourly,$0.89964 hourly,$0.89964 hourly,$0.586000 hourly,$0.696700 hourly,EBS only,64-bit,AWS
P3 High Performance GPU Double Extra Large,p3.2xlarge,8 vCPUs,61.0 GiB,P3,Up to 10 Gigabit,$3.06 hourly,$2.088 hourly,$2.088 hourly,$0.918000 hourly,$1.640700 hourly,EBS only,64-bit,AWS
C5 High-CPU Extra Large,c5.xlarge,4 vCPUs,8.0 GiB,C5,Up to 10 Gigabit,$0.17 hourly,$0.107 hourly,$0.107 hourly,$0.073300 hourly,$0.089000 hourly,EBS only,64-bit,AWS
R5D Eight Extra Large,r5d.8xlarge,32 vCPUs,256.0 GiB,R5D,10 Gigabit,$2.304 hourly,$1.452 hourly,$1.452 hourly,$0.693100 hourly,$0.937400 hourly,1200 GB                 (2 * 600 GB NVMe SSD),64-bit,AWS
R5 12xlarge,r5.12xlarge,48 vCPUs,384.0 GiB,R5,10 Gigabit,$3.024 hourly,$1.905 hourly,$1.905 hourly,$1.014100 hourly,$1.190400 hourly,EBS only,64-bit,AWS
U-12TB1 112xlarge,u-12tb1.112xlarge,448 vCPUs,12288.0 GiB,U-12TB1,100 Gigabit,$109.2 hourly,$67.30542 hourly,$67.30542 hourly,unavailable,unavailable,EBS only,64-bit,AWS
H1 Eight Extra Large,h1.8xlarge,32 vCPUs,128.0 GiB,H1,10 Gigabit,$1.872 hourly,$1.272 hourly,$1.272 hourly,$0.561600 hourly,$0.657900 hourly,8000 GB                 (4 * 2000 GB HDD),64-bit,AWS
R5D 24xlarge,r5d.24xlarge,96 vCPUs,768.0 GiB,R5D,25 Gigabit,$6.912 hourly,$4.355 hourly,$4.355 hourly,$2.103900 hourly,$3.985500 hourly,3600 GB                 (4 * 900 GB NVMe SSD),64-bit,AWS
I3EN 6xlarge,i3en.6xlarge,24 vCPUs,192.0 GiB,I3EN,25 Gigabit,$2.712 hourly,$1.847 hourly,$1.847 hourly,$0.813600 hourly,$0.862500 hourly,15000 GB                 (2 * 7500 GB NVMe SSD),64-bit,AWS
R4 High-Memory Eight Extra Large,r4.8xlarge,32 vCPUs,244.0 GiB,R4,10 Gigabit,$2.128 hourly,$1.344 hourly,$1.344 hourly,$0.543700 hourly,$0.612900 hourly,EBS only,64-bit,AWS
X1 Extra High-Memory 16xlarge,x1.16xlarge,64 vCPUs,976.0 GiB,X1,10 Gigabit,$6.669 hourly,$4.11 hourly,$4.11 hourly,$2.000700 hourly,$2.000700 hourly,1920 GB                 SSD,64-bit,AWS
C5 High-CPU 18xlarge,c5d.18xlarge,72 vCPUs,144.0 GiB,C5,25 Gigabit,$3.456 hourly,$2.177 hourly,$2.177 hourly,$1.424600 hourly,$1.619200 hourly,1800 GB                 (2 * 900 GB NVMe SSD),64-bit,AWS
C6I 12xlarge,c6i.12xlarge,48 vCPUs,96.0 GiB,C6I,18.75 Gigabit,$2.04 hourly,$1.34946 hourly,$1.34946 hourly,$0.822800 hourly,$1.138800 hourly,EBS only,64-bit,AWS
M6I 16xlarge,m6i.16xlarge,64 vCPUs,256.0 GiB,M6I,25 Gigabit,$3.072 hourly,$2.03213 hourly,$2.03213 hourly,$1.152000 hourly,$1.716200 hourly,EBS only,64-bit,AWS
G3 Graphics GPU 16xlarge,g3.16xlarge,64 vCPUs,488.0 GiB,G3,25 Gigabit,$4.56 hourly,$3.1122 hourly,$3.1122 hourly,$1.387600 hourly,$1.649500 hourly,EBS only,64-bit,AWS
I3EN Large,i3en.large,2 vCPUs,16.0 GiB,I3EN,Up to 25 Gigabit,$0.226 hourly,$0.154 hourly,$0.154 hourly,$0.067800 hourly,$0.067800 hourly,1250 GB                 NVMe SSD,64-bit,AWS
U-6TB1 56xlarge,u-6tb1.56xlarge,224 vCPUs,6144.0 GiB,U-6TB1,100 Gigabit,$46.40391 hourly,$28.59618 hourly,$28.59618 hourly,unavailable,unavailable,EBS only,64-bit,AWS
C5N Quadruple Extra Large,c5n.4xlarge,16 vCPUs,42.0 GiB,C5N,Up to 25 Gigabit,$0.864 hourly,$0.544 hourly,$0.544 hourly,$0.265500 hourly,$0.450000 hourly,EBS only,64-bit,AWS
C4 High-CPU Extra Large,c4.xlarge,4 vCPUs,7.5 GiB,C4,High,$0.199 hourly,$0.126 hourly,$0.126 hourly,$0.068300 hourly,$0.088800 hourly,EBS only,64-bit,AWS
X1E Quadruple Extra Large,x1e.4xlarge,16 vCPUs,488.0 GiB,X1E,Up to 10 Gigabit,$3.336 hourly,$2.056 hourly,$2.056 hourly,$1.000800 hourly,$1.000800 hourly,480 GB                 SSD,64-bit,AWS
M5 General Purpose Extra Large,m5d.xlarge,4 vCPUs,16.0 GiB,M5,Up to 10 Gigabit,$0.226 hourly,$0.142 hourly,$0.142 hourly,$0.069900 hourly,$0.074400 hourly,150 GB                 NVMe SSD,64-bit,AWS
